model,val_rmse,val_mae,val_r2
xgboost,3.9095812642811487,2.429006025398012,0.9857117376116934
hist_gradient_boosting,4.07359964791844,2.434989423267636,0.9844877206773398
ridge,4.917549400938291,2.9759995990200636,0.9773943816914764
random_forest,5.612576565394828,3.857833935129697,0.9705528353540341
mlp_neural_network,9.84279308374923,7.468248302010908,0.9094359911986705
