us_aqi,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_change_1h,aqi_change_3h,aqi_rolling_mean_6h,aqi_rolling_mean_24h,next_temperature_2m,next_relative_humidity_2m,next_precipitation,next_surface_pressure,next_wind_speed_10m,next_pm2_5,next_pm10,next_carbon_monoxide,next_nitrogen_dioxide,next_sulphur_dioxide,next_ozone,next_hour_sin,next_hour_cos,next_dow_sin,next_dow_cos,next_month_sin,next_month_cos
91,92.0,94.0,92.0,83.0,-1.0,-3.0,92.83333333333333,95.83333333333333,28.8,26.0,0.0,989.6,12.6,15.0,18.0,342.0,3.0,12.0,177.0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
92,93.0,93.0,91.0,67.0,-1.0,-1.0,92.66666666666667,98.375,27.9,37.0,0.0,985.9,8.2,15.5,41.1,413.0,4.3,10.0,168.0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17
73,72.0,70.0,71.0,76.0,1.0,3.0,71.0,95.83333333333333,28.0,39.0,0.0,985.4,1.4,33.6,36.1,1886.0,27.3,13.4,131.0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
74,75.0,74.0,73.0,76.0,-1.0,0.0,74.0,89.79166666666667,24.4,54.0,0.0,980.5,7.0,29.7,30.9,1386.0,43.2,10.8,60.0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
65,65.0,64.0,77.0,72.0,0.0,1.0,64.66666666666667,74.33333333333333,23.0,53.0,0.0,983.8,9.9,18.8,18.8,407.0,17.1,5.9,50.0,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
87,85.0,79.0,109.0,67.0,2.0,8.0,82.66666666666667,80.16666666666667,24.5,44.0,0.0,981.3,9.5,35.0,63.8,463.0,29.8,8.4,49.0,0.7071067811865476,0.7071067811865476,0.0,1.0,1.0,6.123233995736766e-17
71,70.0,100.0,132.0,81.0,1.0,-29.0,94.83333333333333,85.125,28.6,32.0,0.0,979.9,5.0,34.8,46.3,1073.0,48.5,10.0,40.0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
112,113.0,143.0,136.0,106.0,-1.0,-31.0,132.16666666666666,114.16666666666667,30.7,35.0,0.0,979.8,5.0,34.7,47.3,927.0,36.3,10.8,65.0,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
94,101.0,91.0,88.0,99.0,-7.0,3.0,94.16666666666667,93.66666666666667,33.8,25.0,0.0,982.1,8.4,38.3,86.6,1524.0,34.6,12.6,66.0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
143,141.0,115.0,67.0,120.0,2.0,28.0,115.0,86.91666666666667,35.4,23.0,0.0,974.8,3.5,29.5,47.4,735.0,47.9,13.3,80.0,-0.9659258262890684,0.2588190451025203,0.0,1.0,1.0,6.123233995736766e-17
